number,value,datetime_start,datetime_complete,duration,params_ours_area_inv,params_ours_late_aggression,params_ours_mean_dist_all,params_ours_n_cross,params_ours_prod,params_ours_ships,params_ours_wnn_close_res,params_tgt_area_inv,params_tgt_late_aggression,params_tgt_mean_dist_all,params_tgt_n_cross,params_tgt_prod,params_tgt_ships,params_tgt_wnn_close_res,user_attrs_mean_rank,user_attrs_median_rank,user_attrs_top1,user_attrs_top10,user_attrs_top3,user_attrs_top5,user_attrs_total_attack,user_attrs_total_reinforce,state
16,0.14285714285714285,2026-05-20 21:52:24.704918,2026-05-20 21:52:26.441587,0 days 00:00:01.736669,-0.7043928969548237,0.8844339106249453,1.4190316642573366,0.3934158779917887,-0.3207068259997188,1.1761396655313399,-0.7680310698627493,0.007911279315576336,-1.4270521007056385,-0.0224469185434083,-0.6576829126774326,-0.9142710366058665,0.667356345784516,0.23071165387907733,10.908163265306122,9.0,0.030612244897959183,0.5612244897959183,0.14285714285714285,0.2755102040816326,98,92,COMPLETE
17,0.2755102040816326,2026-05-20 21:52:26.441746,2026-05-20 21:52:28.179991,0 days 00:00:01.738245,0.43641688772150344,-1.4536301504133977,1.3213757530587429,-0.3895238992336668,1.3617857310077621,1.2445931706613456,-0.9686679617788532,1.2849556877631763,-0.3447068141942242,1.3999644571310088,-0.6166533237912429,1.3908599312677585,1.0590283664020803,-0.21544755504805702,8.459183673469388,8.0,0.12244897959183673,0.6632653061224489,0.2755102040816326,0.40816326530612246,98,92,COMPLETE
18,0.30612244897959184,2026-05-20 21:52:28.180136,2026-05-20 21:52:29.917009,0 days 00:00:01.736873,1.0534100145505707,0.2101835102680949,-0.9915217599417225,0.588089390024919,0.17040378737505046,1.308464322482343,-0.549233984531167,-1.2084705186876943,0.7223058532626133,1.4701615503127898,1.1321192157838662,-1.0797479542904278,0.05498895709121021,0.3450216800975092,7.8061224489795915,6.0,0.10204081632653061,0.7653061224489796,0.30612244897959184,0.4489795918367347,98,92,COMPLETE
19,0.2857142857142857,2026-05-20 21:52:29.917150,2026-05-20 21:52:31.647665,0 days 00:00:01.730515,0.5910472229858039,1.101216955740311,-0.4215265463407345,0.9303401840375423,-0.6192244672065199,0.9280834664355408,0.6074522519613278,1.239721657669414,0.8873780083083032,0.004548884061598812,0.60590063177311,0.8948855369003255,0.44989179233329546,0.03402719658281339,8.346938775510203,7.0,0.1326530612244898,0.673469387755102,0.2857142857142857,0.40816326530612246,98,92,COMPLETE
20,0.37755102040816324,2026-05-20 21:52:31.647807,2026-05-20 21:52:33.394808,0 days 00:00:01.747001,-0.18103705772788414,-0.3003724630773975,-0.007923077682974783,-0.3280587210096834,-0.18179700924508724,1.4507981233144753,-0.22011067052545313,0.4582579453784359,0.5795039959647207,0.4311382098714701,1.3619327399663246,-0.2133538119455467,-0.2783247900585089,0.8508888634470504,7.836734693877551,5.5,0.14285714285714285,0.673469387755102,0.37755102040816324,0.5,98,92,COMPLETE
21,0.3673469387755102,2026-05-20 21:52:33.394958,2026-05-20 21:52:35.139200,0 days 00:00:01.744242,-0.2441413245040862,-0.376080146770283,0.9046049708123373,-0.3372173878081174,-0.16991787928675342,1.4139373314970323,-0.29838643960955386,0.5686098033619266,0.5215924468215063,0.4580436006749428,1.429258357765176,-0.39649114894579385,-0.26140780206345643,0.8949392388295417,7.908163265306122,6.0,0.14285714285714285,0.6836734693877551,0.3673469387755102,0.47959183673469385,98,92,COMPLETE
22,0.3469387755102041,2026-05-20 21:52:35.139347,2026-05-20 21:52:36.888338,0 days 00:00:01.748991,-0.20999222407720985,-0.42759386049118586,0.8997676509051351,-0.2614428646986914,-0.24922617501749839,1.3847517107252714,-0.2799530811376804,0.5565138243868027,0.45368379312689755,0.3620466297680405,1.4986314216511094,-0.15396442146686526,-0.3185563530906583,1.1237987856673408,7.8979591836734695,6.0,0.11224489795918367,0.6836734693877551,0.3469387755102041,0.46938775510204084,98,92,COMPLETE
23,0.336734693877551,2026-05-20 21:52:36.888487,2026-05-20 21:52:38.637826,0 days 00:00:01.749339,-0.16465590054944068,-0.33518797629821,-0.016665640841505583,-0.3584964026376159,-0.23185734665527236,1.4963334220320166,-0.09383214164180884,0.423939795255838,0.41840539881263294,0.4710596731984172,1.4593563760740305,0.005268618894952393,-0.4042196777913778,1.0507542351410482,7.663265306122449,6.0,0.1326530612244898,0.7142857142857143,0.336734693877551,0.47959183673469385,98,92,COMPLETE
24,0.3673469387755102,2026-05-20 21:52:38.637984,2026-05-20 21:52:40.384600,0 days 00:00:01.746616,-0.12098615477039558,-0.7187275626110178,1.0216115751849357,-0.3153074653670817,-0.2081755768650195,1.4872024929895964,-0.1568871266088634,0.29892253325887264,0.4337608319421084,0.4072831697871845,1.4976666645243313,-0.366766826125243,-0.5448712675692936,1.1608134863439163,7.826530612244898,6.0,0.12244897959183673,0.6632653061224489,0.3673469387755102,0.47959183673469385,98,92,COMPLETE
25,0.37755102040816324,2026-05-20 21:52:40.384758,2026-05-20 21:52:42.134306,0 days 00:00:01.749548,-0.14691670222310127,-0.7657483981713453,0.9882295985484508,-0.42988809087578705,-1.0669198318604003,0.22861114179559022,0.12657963740665767,0.24018849713437326,0.3545518119397544,0.3490921832051967,1.1353062546614476,-0.498987048965789,-0.6526525875276932,0.7294252949719278,7.959183673469388,5.0,0.1326530612244898,0.6632653061224489,0.37755102040816324,0.5204081632653061,98,92,COMPLETE
26,0.3673469387755102,2026-05-20 21:52:42.134457,2026-05-20 21:52:43.882167,0 days 00:00:01.747710,0.1309179323992235,-0.12765828841018367,-0.2252294909549233,-0.4997997807729049,-1.404563997174047,0.3230973963372554,0.12121393012739509,-0.3045640346367491,0.7666735092583149,-0.22301211517965575,1.0982416776143749,-0.5381460020086439,-0.7739673967735244,0.6469386507523892,8.561224489795919,6.0,0.09183673469387756,0.6326530612244898,0.3673469387755102,0.47959183673469385,98,92,COMPLETE
