episode_id,step,player_idx,launch_idx,n_players,n_planets,n_fleets,pro_src_id,pro_target_id,pro_ships,pro_angle,pro_action_type,pro_target_owner,pro_target_priority,pro_target_zone,pro_rank_in_targets,n_targets,heur_top_target_id,heur_top_priority,heur_top1,heur_top3,heur_top5,heur_top10,heur_n_moves,heur_action_src_id,heur_action_target_id,heur_action_type,heur_action_ships,src_match,target_match,type_match,heur_idle,error,phase,final_reward,sanity_owner_match,sanity_ship_match,sanity_fleet_count_match,sanity_n_planets_compared,proj_owner_accuracy,proj_active_accuracy,proj_n_active,proj_horizon
75693368,201,3,19,4,32,369,21,19,4,-1.9756,reinforce,3,-1.143,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.971,1.0,,,,,,,,
75693368,141,3,0,4,32,24,12,10,31,-1.8936,reinforce,3,0.8726,contested,,19,22.0,2.8326,False,False,False,False,1,20.0,24.0,enemy,6.0,False,False,False,False,,0.6812,1.0,1.0,1.0,True,32.0,,,,
75693368,123,2,0,4,32,26,20,2,37,-0.5679,enemy,3,0.8046,contested,4.0,22,26.0,2.1669,False,False,True,True,0,,,,,False,False,False,True,,0.5942,-1.0,,,,,,,,
75693368,50,2,0,4,36,14,23,22,24,2.1411,enemy,0,0.0345,periphery,7.0,22,21.0,2.0517,False,False,False,True,1,6.0,12.0,enemy,15.0,False,False,True,False,,0.2415,-1.0,,,,,,,,
75693368,130,2,0,4,32,18,12,24,17,-2.2701,enemy,3,0.5191,contested,,21,26.0,2.9973,False,False,False,False,0,,,,,False,False,False,True,,0.628,-1.0,,,,,,,,
75696094,156,1,18,2,28,275,21,24,5,-1.8539,neutral,-1,,,,2,16.0,2.464,False,False,False,False,3,10.0,5.0,reinforce,45.0,False,False,False,False,,0.8125,1.0,,,,,,,,
75696094,170,1,11,2,28,346,17,20,3,-1.306,reinforce,1,0.2433,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.8854,1.0,,,,,,,,
75696094,143,1,10,2,24,196,16,10,2,-0.302,neutral,-1,-0.6095,frontline,,4,9.0,2.7034,False,False,False,False,0,,,,,False,False,False,True,,0.7448,1.0,,,,,,,,
75696709,80,3,0,4,36,30,25,4,48,0.2304,neutral,-1,0.5991,priority_target,1.0,15,4.0,0.5991,True,True,True,True,2,6.0,22.0,reinforce,80.0,False,False,False,False,,0.6349,1.0,,,,,,,,
75697081,30,0,0,2,32,6,12,17,22,-2.466,neutral,-1,0.6207,priority_target,5.0,26,20.0,2.1384,False,False,True,True,2,16.0,1.0,neutral,17.0,False,False,True,False,,0.2256,-1.0,,,,,,,,
75697366,122,1,2,4,36,53,13,9,12,0.0407,reinforce,1,-0.6922,bastion,,12,35.0,0.4817,False,False,False,False,5,0.0,25.0,neutral,33.0,False,False,False,False,,0.5495,1.0,,,,,,,,
75697366,77,1,0,4,40,36,5,13,15,0.6916,reinforce,1,-1.3128,bastion,,23,4.0,1.5666,False,False,False,False,1,29.0,3.0,neutral,51.0,False,False,False,False,,0.3468,1.0,1.0,1.0,True,40.0,,,,
75697366,156,1,7,4,40,92,31,4,17,0.2112,reinforce,1,-0.4569,bastion,,2,6.0,0.1084,False,False,False,False,2,3.0,10.0,reinforce,19.0,False,False,True,False,,0.7027,1.0,,,,,,,,
75698121,134,1,1,2,32,40,16,12,15,2.6348,reinforce,1,-0.0624,mid,,6,22.0,1.2557,False,False,False,False,2,19.0,31.0,reinforce,16.0,False,False,True,False,,0.8481,1.0,,,,,,,,
75699482,299,3,13,4,32,564,16,10,32,-0.4195,reinforce,3,-0.5491,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9967,1.0,,,,,,,,
75699482,163,3,0,4,36,21,6,2,39,-2.1887,enemy,0,0.8946,priority_target,4.0,20,22.0,2.4779,False,False,True,True,5,1.0,0.0,reinforce,90.0,False,False,False,False,,0.5433,1.0,,,,,,,,
75699482,265,3,23,4,36,269,31,10,2,0.1046,reinforce,3,-0.4914,isolated,,0,,,False,False,False,False,2,6.0,25.0,reinforce,61.0,False,False,True,False,,0.8833,1.0,,,,,,,,
75699482,296,3,11,4,32,534,12,7,2,-1.3479,reinforce,3,-0.3422,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9867,1.0,,,,,,,,
75699482,293,3,18,4,32,497,18,15,6,-1.3312,reinforce,3,-0.0669,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9767,1.0,,,,,,,,
75699482,247,3,13,4,32,103,20,30,2,-0.9677,enemy,2,-0.7083,isolated,,3,14.0,1.6029,False,False,False,False,1,17.0,26.0,enemy,25.0,False,False,True,False,,0.8233,1.0,,,,,,,,
75699482,40,1,0,4,32,15,16,5,31,2.338,enemy,0,1.257,contested,5.0,24,12.0,2.1251,False,False,True,True,4,11.0,31.0,neutral,28.0,False,False,False,False,,0.1333,-1.0,,,,,,,,
75699482,148,3,1,4,32,28,29,9,39,1.3069,reinforce,3,-0.6275,frontline,,21,18.0,1.626,False,False,False,False,4,19.0,9.0,reinforce,19.0,False,True,True,False,,0.4933,1.0,1.0,1.0,True,32.0,,,,
75699913,131,0,0,2,28,39,1,13,22,-2.3807,reinforce,0,-2.1364,hard_far,7.0,7,22.0,0.8393,False,False,False,True,2,6.0,15.0,enemy,41.0,False,False,False,False,,0.8239,1.0,,,,,,,,
75700277,116,2,0,4,28,23,19,1,32,2.0483,enemy,3,-1.605,hard_far,16.0,23,14.0,2.7563,False,False,False,False,2,26.0,22.0,enemy,26.0,False,False,True,False,,0.5771,-1.0,,,,,,,,
75701419,127,1,0,2,36,32,26,11,10,2.4679,reinforce,1,-0.9571,mid,,10,8.0,-0.0664,False,False,False,False,2,18.0,21.0,enemy,34.0,False,False,False,False,,0.756,1.0,,,,,,,,
75709643,200,3,3,4,28,62,8,5,32,3.0109,reinforce,3,0.3785,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.8065,1.0,,,,,,,,
75709643,91,1,0,4,28,18,14,11,31,-1.9194,enemy,3,-1.2755,hard_far,12.0,18,19.0,3.0128,False,False,False,False,2,16.0,9.0,neutral,38.0,False,False,False,False,,0.3669,-1.0,,,,,,,,
75709643,189,3,0,4,28,74,0,4,12,-1.4502,reinforce,3,0.6156,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.7621,1.0,,,,,,,,
75709643,159,0,0,4,32,66,0,20,50,-1.9399,enemy,3,0.0757,contested,,26,10.0,2.5941,False,False,False,False,0,,,,,False,False,False,True,,0.6411,-1.0,,,,,,,,
75709643,200,3,0,4,28,62,26,2,90,-2.9296,reinforce,3,-0.3229,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.8065,1.0,,,,,,,,
75709643,173,3,5,4,32,81,2,13,11,1.5516,reinforce,3,-0.3394,rear,,3,0.0,0.9965,False,False,False,False,6,13.0,0.0,reinforce,47.0,False,False,True,False,,0.6976,1.0,,,,,,,,
75710307,53,2,0,4,28,19,23,10,23,-1.8075,reinforce,2,-0.162,contested,,17,8.0,1.8122,False,False,False,False,2,23.0,7.0,enemy,14.0,True,False,False,False,,0.3136,-1.0,1.0,1.0,True,28.0,,,,
