n_planets,n_planet_diffs,pct_planets_match,n_pred_fleets,n_real_fleets,fleet_count_match,n_extra_pred_fleets,n_missing_pred_fleets,n_total_launches,n_active_players,episode_id,step,n_players,phase
24,0,1.0,9,9,True,0,0,0,0,76338140,60,4,0.4545
24,0,1.0,9,9,True,0,0,0,0,76338140,60,4,0.4545
20,0,1.0,19,19,True,0,0,1,1,76341498,143,2,0.7772
24,0,1.0,21,21,True,0,0,1,1,76341498,63,2,0.3424
32,0,1.0,18,18,True,0,0,2,2,76345723,133,4,0.7151
24,0,1.0,79,79,True,0,0,7,2,76353192,59,2,0.285
24,3,0.875,93,96,False,0,3,7,2,76353192,154,2,0.744
20,1,0.95,21,22,False,0,1,5,2,76354266,95,2,0.4634
32,3,0.9062,85,86,False,1,2,13,2,76358451,153,4,0.827
32,5,0.8438,82,83,False,2,3,16,3,76358451,151,4,0.8162
32,2,0.9375,37,35,False,2,0,4,3,76358451,61,4,0.3297
28,1,0.9643,73,74,False,0,1,5,2,76358451,101,4,0.5459
24,4,0.8333,29,25,False,4,0,7,2,76359751,139,4,0.4225
24,0,1.0,17,17,True,0,0,2,2,76359751,228,4,0.693
32,0,1.0,37,37,True,0,0,5,2,76360514,86,2,0.5584
32,0,1.0,33,33,True,0,0,3,2,76360514,87,2,0.5649
24,0,1.0,36,36,True,0,0,2,1,76369368,88,2,0.4378
20,0,1.0,28,28,True,0,0,1,1,76379566,117,4,0.3567
36,1,0.9722,81,82,False,0,1,15,2,76395944,77,4,0.1543
32,0,1.0,16,16,True,0,0,3,2,76404318,53,4,0.2246
28,0,1.0,4,4,True,0,0,0,0,76404318,1,4,0.0042
32,1,0.9688,26,27,False,0,1,4,3,76404703,45,4,0.2419
36,0,1.0,13,13,True,0,0,4,1,76405377,83,4,0.3673
32,0,1.0,25,25,True,0,0,4,2,76417215,88,4,0.5432
32,3,0.9062,94,97,False,0,3,7,2,76421250,171,2,0.7917
28,2,0.9286,113,115,False,0,2,10,2,76421250,194,2,0.8981
28,4,0.8571,123,128,False,0,5,12,1,76421250,202,2,0.9352
28,3,0.8929,72,75,False,0,3,6,2,76421250,136,2,0.6296
24,1,0.9583,23,22,False,1,0,6,2,76435455,76,4,0.322
36,6,0.8333,32,26,False,7,1,7,1,76443885,58,4,0.2959
32,12,0.625,33,20,False,13,0,13,1,76443885,112,4,0.5714
36,8,0.7778,29,23,False,7,1,9,2,76443885,78,4,0.398
36,1,0.9722,71,72,False,0,1,8,1,76453508,119,2,0.8686
