seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
25,stage_0.6→1.2,sub2,1,0,1.0,-1.0,193,28,0,4865.0,0.0,56.0,0.0,4865.0,17.5,0.5446428571428571,0.5555555555555556,0.7339274347549332,0.7142857142857143,1.0,1.0,1.0,1.0
1,stage_0.8→1.5,sub2,1,0,1.0,-1.0,152,32,0,5323.0,0.0,80.0,0.0,5323.0,12.5,0.5888888888888889,0.6956521739130435,0.8574650428506991,0.9166666666666666,1.0,1.0,1.0,1.0
27,stage_0.6→1.2,sub2,0,0,-1.0,1.0,200,0,28,0.0,3788.0,0.0,88.0,-3788.0,29.1,0.5131964809384164,0.5,0.4547325102880658,0.43529411764705883,0.0,0.0,0.0,0.0
0,stage_0.8→1.5,sub2,1,0,1.0,-1.0,163,34,0,3435.0,0.0,82.0,0.0,3435.0,17.5,0.49333333333333335,0.7272727272727273,0.5924486396446419,0.6857142857142857,1.0,1.0,1.0,1.0
28,stage_0.6→1.2,sub2,1,0,1.0,-1.0,192,32,0,5863.0,0.0,112.0,0.0,5863.0,32.9,0.5701219512195121,0.4523809523809524,0.5232628398791541,0.4953271028037383,1.0,1.0,1.0,1.0
29,stage_0.6→1.2,sub2,0,0,-1.0,1.0,166,0,36,0.0,3350.0,0.0,100.0,-3350.0,27.2,0.43498817966903075,0.6060606060606061,0.3964394268345636,0.42857142857142855,0.0,0.0,0.0,0.0
3,stage_0.8→1.5,sub2,1,0,1.0,-1.0,182,28,0,3948.0,0.0,64.0,0.0,3948.0,14.8,0.7066666666666667,0.8,0.7306748466257669,0.6949152542372882,1.0,1.0,1.0,1.0
4,stage_0.8→1.5,sub2,0,0,-1.0,1.0,178,0,32,0.0,1200.0,0.0,44.0,-1200.0,15.4,0.47540983606557374,0.6666666666666666,0.4626865671641791,0.4,0.0,0.0,0.0,0.0
5,stage_0.8→1.5,sub2,0,0,-1.0,1.0,142,0,32,0.0,3487.0,0.0,92.0,-3487.0,19.8,0.5283842794759825,0.5238095238095238,0.2820292347377472,0.2777777777777778,0.0,0.0,0.0,0.0
7,stage_0.8→1.5,sub2,0,0,-1.0,1.0,155,0,26,0.0,3311.0,0.0,70.0,-3311.0,12.9,0.6239782016348774,0.4375,0.3080168776371308,0.24242424242424243,0.0,0.0,0.0,0.0
6,stage_0.8→1.5,sub2,1,0,1.0,-1.0,175,35,0,4435.0,0.0,87.0,0.0,4435.0,21.6,0.4897959183673469,0.5555555555555556,0.6198189614101953,0.5476190476190477,1.0,1.0,1.0,1.0
8,stage_0.8→1.5,sub2,0,0,-1.0,1.0,181,0,32,0.0,4739.0,0.0,104.0,-4739.0,20.6,0.5257142857142857,0.5,0.397456279809221,0.40425531914893614,0.0,0.0,0.0,0.0
11,stage_0.8→1.5,sub2,0,0,-1.0,1.0,139,0,24,0.0,3382.0,0.0,84.0,-3382.0,10.7,0.49110320284697506,0.5686274509803921,0.2632922160782646,0.18292682926829268,0.0,0.0,0.0,0.0
9,stage_0.8→1.5,sub2,1,0,1.0,-1.0,165,42,0,5175.0,0.0,98.0,0.0,5175.0,19.8,0.452991452991453,0.6428571428571429,0.7097661623108665,0.7906976744186046,1.0,1.0,1.0,1.0
12,stage_0.8→1.5,sub2,1,0,1.0,-1.0,149,28,0,4045.0,0.0,84.0,0.0,4045.0,16.9,0.5691056910569106,0.5151515151515151,0.6508474576271186,0.6904761904761905,1.0,1.0,1.0,1.0
10,stage_0.8→1.5,sub2,1,0,1.0,-1.0,250,28,0,4670.0,0.0,64.0,0.0,4670.0,29.2,0.5545023696682464,0.7058823529411765,0.6224982746721878,0.6129032258064516,0.9142300194931774,0.953125,1.0,1.0
2,stage_0.8→1.5,sub2,1,0,1.0,-1.0,375,33,0,3596.0,0.0,49.0,0.0,3596.0,61.7,0.4108527131782946,0.5714285714285714,0.6534541336353341,0.5,0.5583109919571045,0.5416666666666666,1.0,1.0
14,stage_0.8→1.5,sub2,1,0,1.0,-1.0,178,38,0,5642.0,0.0,82.0,0.0,5642.0,16.4,0.6,0.42105263157894735,0.6974305191400105,0.7733333333333333,1.0,1.0,1.0,1.0
17,stage_0.8→1.5,sub2,1,0,1.0,-1.0,135,24,0,2768.0,0.0,56.0,0.0,2768.0,5.2,0.7894736842105263,0.8571428571428571,0.9238385376999239,0.9107142857142857,1.0,1.0,1.0,1.0
13,stage_0.8→1.5,sub2,0,0,-1.0,1.0,222,0,32,0.0,3670.0,0.0,72.0,-3670.0,30.6,0.4782608695652174,0.6,0.5132402503610978,0.4861111111111111,0.05708333333333333,0.013888888888888888,0.0,0.0
15,stage_0.8→1.5,sub2,1,0,1.0,-1.0,188,32,0,5532.0,0.0,76.0,0.0,5532.0,19.6,0.5227272727272727,0.5,0.7688629117959618,0.7236842105263158,1.0,1.0,1.0,1.0
16,stage_0.8→1.5,sub2,0,0,-1.0,1.0,180,0,32,0.0,2961.0,0.0,76.0,-2961.0,19.8,0.5387596899224806,0.5714285714285714,0.4813299232736573,0.4782608695652174,0.0,0.0,0.0,0.0
18,stage_0.8→1.5,sub2,0,0,-1.0,1.0,168,0,28,0.0,2727.0,0.0,84.0,-2727.0,16.0,0.5,0.5,0.411732152739347,0.52,0.0,0.0,0.0,0.0
19,stage_0.8→1.5,sub2,0,0,-1.0,1.0,142,0,36,0.0,4958.0,0.0,124.0,-4958.0,20.2,0.515748031496063,0.5344827586206896,0.3532287110882429,0.25806451612903225,0.0,0.0,0.0,0.0
21,stage_0.8→1.5,sub2,1,0,1.0,-1.0,156,24,0,3383.0,0.0,60.0,0.0,3383.0,11.1,0.48717948717948717,0.65625,0.7987711213517665,0.8333333333333334,1.0,1.0,1.0,1.0
22,stage_0.8→1.5,sub2,1,0,1.0,-1.0,183,20,0,3318.0,0.0,52.0,0.0,3318.0,11.6,0.5351681957186545,0.52,0.5529500756429652,0.6458333333333334,1.0,1.0,1.0,1.0
23,stage_0.8→1.5,sub2,0,0,-1.0,1.0,146,0,28,0.0,4224.0,0.0,88.0,-4224.0,15.3,0.5764192139737991,0.4523809523809524,0.29243623570800353,0.23863636363636365,0.0,0.0,0.0,0.0
20,stage_0.8→1.5,sub2,1,0,1.0,-1.0,234,28,0,3695.0,0.0,76.0,0.0,3695.0,24.8,0.43956043956043955,0.7142857142857143,0.7099678456591639,0.4927536231884058,0.7590158409167509,0.8552631578947368,1.0,1.0
26,stage_0.8→1.5,sub2,1,0,1.0,-1.0,195,32,0,5989.0,0.0,80.0,0.0,5989.0,13.7,0.5304347826086957,0.75,0.7698195735374521,0.5972222222222222,1.0,1.0,1.0,1.0
24,stage_0.8→1.5,sub2,1,0,1.0,-1.0,269,30,0,4656.0,0.0,70.0,0.0,4656.0,23.9,0.5051020408163265,0.6153846153846154,0.5138157894736842,0.48484848484848486,0.7003275109170306,0.7647058823529411,1.0,1.0
25,stage_0.8→1.5,sub2,0,0,-1.0,1.0,199,0,32,0.0,5453.0,0.0,108.0,-5453.0,26.9,0.33031674208144796,0.6216216216216216,0.4613845538215286,0.49523809523809526,0.0,0.0,0.0,0.0
28,stage_0.8→1.5,sub2,0,0,-1.0,1.0,185,0,32,0.0,2350.0,0.0,60.0,-2350.0,22.7,0.5217391304347826,0.56,0.5286859962985812,0.47368421052631576,0.0,0.0,0.0,0.0
0,gar_off,sub2,0,0,-1.0,1.0,156,0,24,0.0,3597.0,0.0,84.0,-3597.0,12.0,0.49206349206349204,0.5,0.38935456831517185,0.3125,0.0,0.0,0.0,0.0
29,stage_0.8→1.5,sub2,1,0,1.0,-1.0,179,34,0,4452.0,0.0,74.0,0.0,4452.0,20.2,0.5167464114832536,0.5333333333333333,0.6872881355932203,0.7361111111111112,1.0,1.0,1.0,1.0
1,gar_off,sub2,1,0,1.0,-1.0,167,22,0,2927.0,0.0,54.0,0.0,2927.0,9.1,0.50187265917603,0.4166666666666667,0.6621722846441948,0.6122448979591837,1.0,1.0,1.0,1.0
2,gar_off,sub2,1,0,1.0,-1.0,178,28,0,3594.0,0.0,60.0,0.0,3594.0,14.2,0.5513698630136986,0.5833333333333334,0.6028368794326241,0.6792452830188679,1.0,1.0,1.0,1.0
4,gar_off,sub2,1,0,1.0,-1.0,160,29,0,4163.0,0.0,69.0,0.0,4163.0,13.4,0.576271186440678,0.5555555555555556,0.7742110990206746,0.7647058823529411,1.0,1.0,1.0,1.0
27,stage_0.8→1.5,sub2,1,0,1.0,-1.0,258,36,0,7731.0,0.0,96.0,0.0,7731.0,43.0,0.4891304347826087,0.47058823529411764,0.5489461358313817,0.4895833333333333,0.8663335415365396,0.8854166666666666,1.0,1.0
3,gar_off,sub2,0,0,-1.0,1.0,191,0,24,0.0,2202.0,0.0,48.0,-2202.0,23.0,0.41825095057034223,0.5517241379310345,0.409435551811289,0.375,0.0,0.0,0.0,0.0
7,gar_off,sub2,1,0,1.0,-1.0,152,32,0,4890.0,0.0,80.0,0.0,4890.0,16.1,0.5073684210526316,0.6341463414634146,0.8073394495412844,0.7125,1.0,1.0,1.0,1.0
5,gar_off,sub2,0,0,-1.0,1.0,217,0,28,0.0,2847.0,0.0,88.0,-2847.0,29.8,0.5,0.5263157894736842,0.5246108540176694,0.45454545454545453,0.19152854511970535,0.11363636363636363,0.0,0.0
9,gar_off,sub2,0,0,-1.0,1.0,113,0,27,0.0,1696.0,0.0,63.0,-1696.0,11.3,0.569023569023569,0.42424242424242425,0.16087516087516088,0.09836065573770492,0.0,0.0,0.0,0.0
