seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
20,prio_0.9,sub2,0,0,-1.0,1.0,185,0,28,0.0,4358.0,0.0,88.0,-4358.0,18.8,0.49056603773584906,0.5161290322580645,0.43651626442812175,0.3181818181818182,0.0,0.0,0.0,0.0
22,prio_0.9,sub2,1,0,1.0,-1.0,197,24,0,2053.0,0.0,52.0,0.0,2053.0,13.5,0.5023923444976076,0.5833333333333334,0.5802180685358256,0.5227272727272727,1.0,1.0,1.0,1.0
24,prio_0.9,sub2,0,0,-1.0,1.0,150,0,23,0.0,1182.0,0.0,39.0,-1182.0,10.1,0.5084745762711864,0.4,0.29906542056074764,0.2222222222222222,0.0,0.0,0.0,0.0
21,prio_0.9,sub2,0,0,-1.0,1.0,154,0,36,0.0,3319.0,0.0,84.0,-3319.0,25.2,0.4538606403013183,0.5116279069767442,0.3997599039615846,0.4125,0.0,0.0,0.0,0.0
23,prio_0.9,sub2,1,0,1.0,-1.0,223,28,0,5362.0,0.0,88.0,0.0,5362.0,22.9,0.5043988269794721,0.4897959183673469,0.48261758691206547,0.5795454545454546,0.9448118006103764,0.9659090909090909,1.0,1.0
25,prio_0.9,sub2,1,0,1.0,-1.0,167,30,0,2980.0,0.0,70.0,0.0,2980.0,14.9,0.5277777777777778,0.5714285714285714,0.6411314083677078,0.5692307692307692,1.0,1.0,1.0,1.0
17,prio_0.9,sub2,1,0,1.0,-1.0,283,36,0,4452.0,0.0,68.0,0.0,4452.0,53.9,0.6,0.6666666666666666,0.5098983413590155,0.4626865671641791,0.646568821896073,0.7058823529411765,1.0,1.0
27,prio_0.9,sub2,0,0,-1.0,1.0,207,0,19,0.0,1940.0,0.0,55.0,-1940.0,13.7,0.5089285714285714,0.5,0.5628778718258767,0.5769230769230769,0.019631171921475312,0.09090909090909091,0.0,0.0
26,prio_0.9,sub2,0,0,-1.0,1.0,168,0,40,0.0,4737.0,0.0,68.0,-4737.0,20.1,0.48286604361370716,0.5294117647058824,0.19833729216152018,0.11290322580645161,0.0,0.0,0.0,0.0
28,prio_0.9,sub2,1,0,1.0,-1.0,144,28,0,5350.0,0.0,84.0,0.0,5350.0,10.1,0.5151515151515151,0.4827586206896552,0.8684106222750694,0.891566265060241,1.0,1.0,1.0,1.0
29,prio_0.9,sub2,0,0,-1.0,1.0,198,0,28,0.0,2210.0,0.0,40.0,-2210.0,14.1,0.5,0.5,0.5224719101123596,0.40625,0.0,0.0,0.0,0.0
0,prio_1.0,sub2,0,0,-1.0,1.0,192,0,24,0.0,2070.0,0.0,48.0,-2070.0,16.1,0.4755244755244755,0.5625,0.4660633484162896,0.4,0.0,0.0,0.0,0.0
3,prio_1.0,sub2,0,0,-1.0,1.0,184,0,24,0.0,4929.0,0.0,84.0,-4929.0,13.5,0.5489296636085627,0.5,0.39939420164430983,0.38095238095238093,0.0,0.0,0.0,0.0
1,prio_1.0,sub2,1,0,1.0,-1.0,164,36,0,5965.0,0.0,88.0,0.0,5965.0,15.2,0.6461538461538462,0.75,0.7776141384388807,0.8160919540229885,1.0,1.0,1.0,1.0
4,prio_1.0,sub2,0,0,-1.0,1.0,150,0,24,0.0,3164.0,0.0,72.0,-3164.0,10.9,0.46153846153846156,0.4166666666666667,0.24747174301011302,0.3188405797101449,0.0,0.0,0.0,0.0
6,prio_1.0,sub2,1,0,1.0,-1.0,160,30,0,3959.0,0.0,66.0,0.0,3959.0,10.3,0.43478260869565216,0.875,0.9028620988725065,0.9411764705882353,1.0,1.0,1.0,1.0
2,prio_1.0,sub2,0,0,-1.0,1.0,192,0,32,0.0,3599.0,0.0,84.0,-3599.0,26.0,0.548,0.5769230769230769,0.5093250444049734,0.5238095238095238,0.0,0.0,0.0,0.0
8,prio_1.0,sub2,0,0,-1.0,1.0,161,0,28,0.0,3692.0,0.0,84.0,-3692.0,14.9,0.5652173913043478,0.5882352941176471,0.4385228703315149,0.325,0.0,0.0,0.0,0.0
9,prio_1.0,sub2,1,0,1.0,-1.0,154,24,0,4059.0,0.0,68.0,0.0,4059.0,9.3,0.6229508196721312,0.6,0.7875920084121977,0.8529411764705882,1.0,1.0,1.0,1.0
10,prio_1.0,sub2,0,0,-1.0,1.0,149,0,20,0.0,1861.0,0.0,60.0,-1861.0,9.1,0.4979919678714859,0.5263157894736842,0.4321179208688906,0.3333333333333333,0.0,0.0,0.0,0.0
5,prio_1.0,sub2,1,0,1.0,-1.0,308,20,0,3459.0,0.0,68.0,0.0,3459.0,28.8,0.4532871972318339,0.46153846153846156,0.4989010989010989,0.5,0.5632805995004163,0.4852941176470588,1.0,1.0
11,prio_1.0,sub2,0,0,-1.0,1.0,221,0,20,0.0,1996.0,0.0,56.0,-1996.0,16.1,0.36752136752136755,0.5555555555555556,0.4830148619957537,0.46808510638297873,0.18888888888888888,0.16071428571428573,0.0,0.0
7,prio_1.0,sub2,1,0,1.0,-1.0,283,32,0,9946.0,0.0,96.0,0.0,9946.0,36.3,0.6052631578947368,0.4090909090909091,0.5834882856080327,0.5,0.9693953719830803,0.9479166666666666,1.0,1.0
12,prio_1.0,sub2,1,0,1.0,-1.0,172,36,0,6175.0,0.0,92.0,0.0,6175.0,18.1,0.5,0.65625,0.7373595505617978,0.7261904761904762,1.0,1.0,1.0,1.0
13,prio_1.0,sub2,1,0,1.0,-1.0,172,35,0,4242.0,0.0,75.0,0.0,4242.0,18.4,0.5775862068965517,0.5555555555555556,0.7104773713577185,0.6065573770491803,1.0,1.0,1.0,1.0
14,prio_1.0,sub2,0,0,-1.0,1.0,211,0,28,0.0,2621.0,0.0,84.0,-2621.0,21.7,0.603225806451613,0.6666666666666666,0.5329566854990584,0.42857142857142855,0.13588026782197715,0.08333333333333333,0.0,0.0
17,prio_1.0,sub2,1,0,1.0,-1.0,146,32,0,4003.0,0.0,76.0,0.0,4003.0,10.6,0.5,0.5,0.8725212464589235,0.9117647058823529,1.0,1.0,1.0,1.0
15,prio_1.0,sub2,1,0,1.0,-1.0,147,32,0,4810.0,0.0,80.0,0.0,4810.0,15.5,0.4976190476190476,0.5483870967741935,0.8213984835720304,0.8,1.0,1.0,1.0,1.0
18,prio_1.0,sub2,1,0,1.0,-1.0,178,36,0,4398.0,0.0,64.0,0.0,4398.0,19.5,0.60431654676259,0.7272727272727273,0.7419127988748242,0.6666666666666666,1.0,1.0,1.0,1.0
