candidate_a_idx,candidate_a_name,candidate_b_idx,candidate_b_name,match_id,seed,points_a,points_b,win_a,draw,win_b,reward_our,reward_sub,ships_our_final,ships_sub_final,ships_diff,steps,match_time_sec
1,winner_seed4,3,winner_seed19,18,2318,0.0,1.0,0,0,1,-1,1,0,2582,-2582,253,6.4
1,winner_seed4,3,winner_seed19,16,2316,1.0,0.0,1,0,0,1,-1,5226,0,5226,250,12.2
1,winner_seed4,3,winner_seed19,19,2319,0.0,1.0,0,0,1,-1,1,0,4509,-4509,226,11.2
1,winner_seed4,4,winner_seed20,0,2400,1.0,0.0,1,0,0,1,-1,3250,0,3250,247,8.8
1,winner_seed4,4,winner_seed20,3,2403,1.0,0.0,1,0,0,1,-1,2206,0,2206,173,6.4
1,winner_seed4,4,winner_seed20,4,2404,1.0,0.0,1,0,0,1,-1,1805,0,1805,224,6.3
1,winner_seed4,4,winner_seed20,2,2402,0.0,1.0,0,0,1,-1,1,0,3128,-3128,185,12.3
1,winner_seed4,4,winner_seed20,6,2406,0.0,1.0,0,0,1,-1,1,0,2378,-2378,214,6.7
1,winner_seed4,4,winner_seed20,1,2401,0.0,1.0,0,0,1,-1,1,0,5364,-5364,246,14.9
1,winner_seed4,4,winner_seed20,5,2405,0.0,1.0,0,0,1,-1,1,0,1054,-1054,288,9.0
1,winner_seed4,4,winner_seed20,10,2410,1.0,0.0,1,0,0,1,-1,4620,0,4620,230,6.8
1,winner_seed4,4,winner_seed20,8,2408,1.0,0.0,1,0,0,1,-1,4056,0,4056,234,13.4
1,winner_seed4,4,winner_seed20,7,2407,1.0,0.0,1,0,0,1,-1,6209,0,6209,231,14.6
1,winner_seed4,4,winner_seed20,9,2409,0.0,1.0,0,0,1,-1,1,0,3273,-3273,214,15.7
1,winner_seed4,4,winner_seed20,13,2413,1.0,0.0,1,0,0,1,-1,2374,0,2374,182,6.0
1,winner_seed4,4,winner_seed20,12,2412,0.0,1.0,0,0,1,-1,1,0,5134,-5134,194,14.1
1,winner_seed4,4,winner_seed20,15,2415,1.0,0.0,1,0,0,1,-1,2957,0,2957,229,6.1
1,winner_seed4,4,winner_seed20,14,2414,0.0,1.0,0,0,1,-1,1,0,1583,-1583,186,12.6
1,winner_seed4,4,winner_seed20,16,2416,0.0,1.0,0,0,1,-1,1,0,3039,-3039,163,8.2
1,winner_seed4,4,winner_seed20,17,2417,0.0,1.0,0,0,1,-1,1,0,3636,-3636,172,8.9
1,winner_seed4,4,winner_seed20,18,2418,1.0,0.0,1,0,0,1,-1,9982,16,9966,500,10.3
1,winner_seed4,5,winner_seed22,2,2502,0.0,1.0,0,0,1,-1,1,0,1717,-1717,178,4.4
1,winner_seed4,4,winner_seed20,11,2411,0.0,1.0,0,0,1,-1,1,0,5501,-5501,393,35.4
1,winner_seed4,5,winner_seed22,0,2500,1.0,0.0,1,0,0,1,-1,3422,0,3422,237,12.8
1,winner_seed4,4,winner_seed20,19,2419,0.0,1.0,0,0,1,-1,1,0,2869,-2869,217,14.5
1,winner_seed4,5,winner_seed22,1,2501,1.0,0.0,1,0,0,1,-1,3464,0,3464,239,14.6
1,winner_seed4,5,winner_seed22,4,2504,1.0,0.0,1,0,0,1,-1,1897,0,1897,192,11.5
1,winner_seed4,5,winner_seed22,6,2506,1.0,0.0,1,0,0,1,-1,2593,0,2593,233,12.9
1,winner_seed4,5,winner_seed22,7,2507,0.0,1.0,0,0,1,-1,1,0,3769,-3769,198,10.0
1,winner_seed4,5,winner_seed22,5,2505,0.0,1.0,0,0,1,-1,1,0,3353,-3353,305,17.7
1,winner_seed4,5,winner_seed22,8,2508,1.0,0.0,1,0,0,1,-1,3148,0,3148,167,10.6
1,winner_seed4,5,winner_seed22,10,2510,0.0,1.0,0,0,1,-1,1,0,1177,-1177,184,5.4
1,winner_seed4,5,winner_seed22,3,2503,1.0,0.0,1,0,0,1,-1,4587,0,4587,254,28.4
1,winner_seed4,5,winner_seed22,11,2511,0.0,1.0,0,0,1,-1,1,0,3075,-3075,151,8.1
1,winner_seed4,5,winner_seed22,12,2512,1.0,0.0,1,0,0,1,-1,4597,0,4597,204,11.4
1,winner_seed4,5,winner_seed22,9,2509,0.0,1.0,0,0,1,-1,1,0,4915,-4915,315,20.8
1,winner_seed4,5,winner_seed22,14,2514,1.0,0.0,1,0,0,1,-1,3622,0,3622,212,8.9
1,winner_seed4,5,winner_seed22,15,2515,0.0,1.0,0,0,1,-1,1,0,5805,-5805,187,11.4
1,winner_seed4,5,winner_seed22,13,2513,0.0,1.0,0,0,1,-1,1,0,2629,-2629,305,20.4
1,winner_seed4,5,winner_seed22,16,2516,1.0,0.0,1,0,0,1,-1,3615,0,3615,215,12.3
1,winner_seed4,5,winner_seed22,19,2519,1.0,0.0,1,0,0,1,-1,4455,0,4455,176,8.3
1,winner_seed4,5,winner_seed22,18,2518,0.0,1.0,0,0,1,-1,1,0,2028,-2028,179,12.4
1,winner_seed4,6,winner_seed36,0,2600,1.0,0.0,1,0,0,1,-1,2898,0,2898,192,9.8
1,winner_seed4,6,winner_seed36,1,2601,1.0,0.0,1,0,0,1,-1,3095,0,3095,203,10.3
