seed,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,time_sec,phase,trial,w_activity_weight,w_idle_floor,w_distance_comfort,w_risk_tolerance,w_ships_weight,w_eta_bonus,w_priority_bonus,w_stress_top_k,w_stress_gamma
37,1,-1,1,0,165,2715,0,2715,6.82,1,3,2.7078,24.0,0.0683,0.0,1.9218,26.0836,1.0374,3.0,0.5799
43,-1,1,0,0,133,0,1445,-1445,11.52,1,0,0.5988,29.0,0.5741,1.0,7.2414,17.6831,1.3837,3.0,0.6493
43,-1,1,0,0,139,0,810,-810,20.22,1,1,2.0437,27.0,0.5946,0.0,6.2162,33.4404,1.7139,5.0,0.5584
43,-1,1,0,0,166,0,1199,-1199,18.07,1,2,0.0162,27.0,0.0506,1.0,4.9548,28.0997,2.7699,2.0,0.6877
43,-1,1,0,0,193,0,1194,-1194,17.2,1,3,0.6613,23.0,0.4813,0.0,2.8007,16.5124,1.146,2.0,0.6008
43,1,-1,1,0,189,2125,0,2125,14.75,1,4,2.7662,27.0,0.1605,1.0,5.7057,48.1943,2.3085,1.0,0.4572
46,1,-1,1,0,202,2906,0,2906,9.28,1,0,1.1925,16.0,0.233,0.0,5.0043,31.0669,2.0902,3.0,0.7116
51,-1,1,0,0,223,0,434,-434,21.41,1,0,2.737,25.0,0.644,1.0,7.0651,13.6723,0.4435,4.0,0.3731
51,-1,1,0,0,121,0,427,-427,10.42,1,1,0.4832,11.0,0.434,0.0,5.4302,43.4247,1.1954,1.0,0.6934
51,-1,1,0,0,140,0,1243,-1243,10.21,1,2,2.3123,30.0,0.1445,0.0,7.5344,49.8684,0.4861,3.0,0.6568
51,-1,1,0,0,131,0,895,-895,5.87,1,3,1.0168,38.0,0.5376,0.0,0.5122,16.7215,2.7541,1.0,0.8814
51,1,-1,1,0,134,3327,0,3327,8.7,1,4,0.2446,34.0,0.1972,0.0,1.6329,41.0585,1.6894,2.0,0.4961
49,1,-1,1,0,336,11726,0,11726,26.28,1,0,0.2506,15.0,0.6773,0.0,3.218,28.3592,2.3466,4.0,0.5793
52,-1,1,0,0,156,0,803,-803,19.15,1,0,1.6404,13.0,0.5766,1.0,3.4456,10.6758,1.4946,3.0,0.5571
52,-1,1,0,0,135,0,473,-473,11.17,1,1,2.5021,40.0,0.3762,1.0,0.1043,27.4403,2.8798,4.0,0.5103
52,-1,1,0,0,152,0,1053,-1053,19.59,1,2,0.6413,33.0,0.0316,1.0,6.7393,43.2591,0.7854,1.0,0.7005
52,1,-1,1,0,252,3664,0,3664,19.67,1,3,0.901,32.0,0.6996,0.0,6.4923,27.2304,1.8926,1.0,0.6276
50,-1,1,0,0,111,0,584,-584,9.2,1,0,1.2631,28.0,0.3851,1.0,6.4063,48.6751,2.0178,1.0,0.6422
50,-1,1,0,0,130,0,713,-713,17.26,1,1,1.4145,36.0,0.5811,0.0,4.5807,35.2415,0.1865,1.0,0.6851
50,-1,1,0,0,174,0,941,-941,12.62,1,2,1.9009,15.0,0.6038,0.0,4.8475,16.2708,1.2347,2.0,0.7278
50,1,-1,1,0,111,2535,0,2535,7.9,1,3,2.0215,40.0,0.1084,1.0,0.5459,24.4946,0.1055,2.0,0.7133
56,1,-1,1,0,167,1430,0,1430,11.02,1,0,1.0692,36.0,0.0302,1.0,0.4698,28.9332,2.1845,5.0,0.3388
55,1,-1,1,0,189,3463,0,3463,18.51,1,0,0.5836,35.0,0.6966,0.0,4.5948,32.3159,0.1248,3.0,0.5209
