seed,w_wnn_close_res,w_mean_dist_all,w_ships,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
0,1.0,-0.8,-0.9,-1,1,0,0,162,0,665,-665,15.3,0
0,1.0,-0.8,-0.7,-1,1,0,0,181,0,2850,-2850,16.5,0
1,1.0,-0.8,-0.9,-1,1,0,0,239,0,1293,-1293,23.4,0
0,1.0,-0.8,-0.3,1,-1,1,0,166,2314,0,2314,10.6,0
1,1.0,-0.8,-0.5,-1,1,0,0,183,0,1630,-1630,15.0,0
0,1.0,-0.8,-0.5,-1,1,0,0,213,0,3079,-3079,19.0,0
0,1.0,-0.8,-0.1,1,-1,1,0,169,3427,0,3427,8.8,0
1,1.0,-0.8,-0.1,1,-1,1,0,148,2364,0,2364,7.5,0
1,1.0,-0.8,-0.3,1,-1,1,0,139,3339,0,3339,12.1,0
1,1.0,-0.6,-0.9,-1,1,0,0,137,0,1801,-1801,6.8,0
1,1.0,-0.6,-0.5,1,-1,1,0,149,3163,0,3163,8.0,0
0,1.0,-0.6,-0.5,1,-1,1,0,148,2961,0,2961,11.1,0
0,1.0,-0.6,-0.9,1,-1,1,0,197,4485,0,4485,19.1,0
1,1.0,-0.6,-0.7,-1,1,0,0,188,0,2672,-2672,16.9,0
0,1.0,-0.6,-0.3,-1,1,0,0,122,0,718,-718,9.2,0
0,1.0,-0.6,-0.7,-1,1,0,0,192,0,1199,-1199,24.6,0
0,1.0,-0.6,-0.1,-1,1,0,0,158,0,614,-614,10.6,0
1,1.0,-0.6,-0.1,1,-1,1,0,176,2832,0,2832,12.6,0
0,1.0,-0.4,-0.9,-1,1,0,0,177,0,2262,-2262,16.0,0
1,1.0,-0.4,-0.9,-1,1,0,0,141,0,1371,-1371,16.0,0
0,1.0,-0.4,-0.7,1,-1,1,0,296,1870,0,1870,14.8,0
1,1.0,-0.4,-0.7,1,-1,1,0,150,4520,0,4520,18.1,0
1,1.0,-0.6,-0.3,-1,1,0,0,361,0,1236,-1236,41.3,0
0,1.0,-0.4,-0.3,1,-1,1,0,119,3442,0,3442,14.0,0
1,1.0,-0.4,-0.5,1,-1,1,0,197,3365,0,3365,15.0,0
0,1.0,-0.4,-0.5,-1,1,0,0,188,0,2323,-2323,20.5,0
0,1.0,-0.2,-0.9,1,-1,1,0,138,5098,0,5098,9.7,0
1,1.0,-0.4,-0.3,-1,1,0,0,187,0,1850,-1850,26.4,0
0,1.0,-0.4,-0.1,-1,1,0,0,197,0,668,-668,22.8,0
0,1.0,-0.2,-0.7,-1,1,0,0,183,0,847,-847,14.3,0
0,1.0,-0.2,-0.5,1,-1,1,0,144,1999,0,1999,5.7,0
1,1.0,-0.4,-0.1,-1,1,0,0,255,0,650,-650,31.0,0
1,1.0,-0.2,-0.7,-1,1,0,0,135,0,2203,-2203,14.3,0
0,1.0,-0.2,-0.3,1,-1,1,0,163,5599,0,5599,12.4,0
1,1.0,-0.2,-0.3,-1,1,0,0,112,0,2218,-2218,10.3,0
1,1.0,-0.2,-0.9,-1,1,0,0,269,0,1327,-1327,38.4,0
0,1.0,-0.2,-0.1,-1,1,0,0,139,0,2241,-2241,9.2,0
1,1.0,-0.2,-0.5,-1,1,0,0,176,0,3475,-3475,21.2,0
1,1.0,-0.2,-0.1,-1,1,0,0,290,0,1109,-1109,46.9,0
1001,0.6,-0.8,-0.3,1,-1,1,0,152,3230,0,3230,9.7,1
1001,0.6,-0.4,-0.1,1,-1,1,0,162,3195,0,3195,12.0,1
1000,0.6,-0.8,-0.3,-1,1,0,0,206,0,566,-566,13.3,1
1000,0.4,-0.8,-0.1,1,-1,1,0,129,3008,0,3008,4.3,1
1002,0.6,-0.4,-0.1,1,-1,1,0,125,2165,0,2165,7.6,1
1002,0.6,-0.8,-0.3,1,-1,1,0,254,3647,0,3647,19.6,1
1001,0.4,-0.8,-0.1,-1,1,0,0,143,0,3069,-3069,8.0,1
1000,0.6,-0.4,-0.1,1,-1,1,0,198,3755,0,3755,29.3,1
1000,0.4,-0.6,-0.1,-1,1,0,0,194,0,616,-616,14.8,1
1002,0.4,-0.8,-0.1,-1,1,0,0,245,0,1102,-1102,20.1,1
1000,0.6,-0.8,-0.1,1,-1,1,0,154,3405,0,3405,8.2,1
1002,0.4,-0.6,-0.1,-1,1,0,0,147,0,1382,-1382,17.6,1
1001,0.6,-0.8,-0.1,-1,1,0,0,201,0,384,-384,11.1,1
1002,0.6,-0.8,-0.1,-1,1,0,0,151,0,1748,-1748,10.3,1
1001,0.4,-0.6,-0.1,-1,1,0,0,283,0,995,-995,27.8,1
1002,0.8,-0.4,-0.9,-1,1,0,0,152,0,324,-324,6.1,1
1002,0.4,-0.8,-0.9,1,-1,1,0,165,3054,0,3054,8.6,1
1001,0.8,-0.4,-0.9,-1,1,0,0,165,0,1033,-1033,18.8,1
1000,0.4,-0.8,-0.9,1,-1,1,0,130,3206,0,3206,12.8,1
1000,0.2,-0.2,-0.5,-1,1,0,0,203,0,3323,-3323,14.5,1
1001,0.2,-0.2,-0.5,-1,1,0,0,139,0,2362,-2362,16.4,1
1001,0.4,-0.8,-0.9,-1,1,0,0,186,0,698,-698,29.5,1
1001,0.4,-0.8,-0.7,-1,1,0,0,139,0,2928,-2928,12.8,1
1000,0.8,-0.4,-0.9,-1,1,0,0,362,0,1993,-1993,50.1,1
1002,0.2,-0.2,-0.5,-1,1,0,0,236,0,559,-559,32.1,1
1000,0.6,-0.6,-0.3,1,-1,1,0,164,3009,0,3009,9.9,1
1000,0.4,-0.8,-0.7,1,-1,1,0,189,5354,0,5354,26.0,1
1002,0.6,-0.6,-0.3,1,-1,1,0,222,6234,0,6234,14.6,1
1001,0.6,-0.6,-0.3,-1,1,0,0,188,0,629,-629,18.5,1
1000,0.2,-0.2,-0.3,-1,1,0,0,173,0,654,-654,12.6,1
1002,0.4,-0.8,-0.7,-1,1,0,0,235,0,697,-697,35.4,1
1002,0.2,-0.2,-0.3,1,-1,1,0,179,2835,0,2835,10.5,1
1000,0.2,-0.8,-0.3,-1,1,0,0,127,0,532,-532,6.1,1
1001,0.2,-0.2,-0.3,1,-1,1,0,196,5929,0,5929,25.7,1
1002,1.0,-0.4,-0.7,-1,1,0,0,165,0,1007,-1007,13.1,1
1000,1.0,-0.4,-0.7,-1,1,0,0,164,0,1869,-1869,19.1,1
1001,0.4,-0.2,-0.7,-1,1,0,0,96,0,351,-351,9.2,1
1000,0.4,-0.2,-0.7,1,-1,1,0,164,2998,0,2998,10.8,1
1001,0.2,-0.8,-0.3,-1,1,0,0,195,0,800,-800,13.8,1
1000,1.0,-0.6,-0.5,-1,1,0,0,141,0,439,-439,6.9,1
1001,1.0,-0.6,-0.5,-1,1,0,0,164,0,802,-802,11.0,1
1002,0.4,-0.2,-0.7,-1,1,0,0,146,0,2605,-2605,14.5,1
1002,0.2,-0.8,-0.3,-1,1,0,0,241,0,1453,-1453,28.5,1
1000,1.0,-0.8,-0.1,1,-1,1,0,184,2646,0,2646,5.5,1
1001,1.0,-0.4,-0.7,-1,1,0,0,275,0,2282,-2282,43.5,1
1001,1.0,-0.8,-0.1,1,-1,1,0,182,2077,0,2077,9.2,1
1002,1.0,-0.8,-0.1,1,-1,1,0,164,2449,0,2449,6.5,1
1000,0.8,-0.8,-0.3,-1,1,0,0,110,0,947,-947,7.3,1
1002,1.0,-0.6,-0.5,-1,1,0,0,146,0,2675,-2675,21.5,1
1002,1.0,-0.8,-0.3,1,-1,1,0,170,2486,0,2486,8.9,1
1001,1.0,-0.8,-0.3,-1,1,0,0,215,0,1753,-1753,13.0,1
1001,0.8,-0.8,-0.3,-1,1,0,0,160,0,935,-935,21.6,1
1002,0.8,-0.8,-0.3,1,-1,1,0,199,3212,0,3212,18.0,1
1000,0.8,-0.8,-0.9,1,-1,1,0,153,3280,0,3280,5.2,1
1000,1.0,-0.8,-0.3,1,-1,1,0,234,5696,0,5696,27.2,1
1001,0.8,-0.2,-0.7,-1,1,0,0,155,0,664,-664,13.2,1
1000,0.8,-0.4,-0.3,1,-1,1,0,107,1561,0,1561,5.9,1
1001,0.8,-0.8,-0.9,-1,1,0,0,103,0,699,-699,10.5,1
1000,0.8,-0.2,-0.7,1,-1,1,0,241,4239,0,4239,26.6,1
1002,0.8,-0.4,-0.3,-1,1,0,0,152,0,683,-683,14.3,1
1002,0.8,-0.2,-0.7,-1,1,0,0,233,0,3267,-3267,31.8,1
1002,0.8,-0.8,-0.9,-1,1,0,0,190,0,3034,-3034,22.6,1
1001,0.6,-0.8,-0.9,-1,1,0,0,116,0,705,-705,8.4,1
1000,0.6,-0.8,-0.9,1,-1,1,0,230,2892,0,2892,17.5,1
