seed,w_ships,w_n_cross,w_wnn_close_res,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
1001,-1.0,0.3,0.8,1,-1,1,0,345,5213,0,5213,30.3,1
1002,0.2,0.9,0.8,-1,1,0,0,226,0,976,-976,15.9,1
1001,0.2,0.5,0.8,-1,1,0,0,144,0,1073,-1073,8.3,1
1001,0.7,1.1,-0.4,1,-1,1,0,137,1864,0,1864,7.5,1
1002,0.2,0.5,0.8,-1,1,0,0,189,0,1274,-1274,14.2,1
1000,0.2,0.5,0.8,1,-1,1,0,249,3725,0,3725,29.6,1
1001,-0.3,0.9,-0.4,1,-1,1,0,159,2015,0,2015,7.6,1
1002,0.7,1.1,-0.4,1,-1,1,0,146,3891,0,3891,16.9,1
1000,0.7,1.1,-0.4,-1,1,0,0,166,0,852,-852,20.1,1
1000,0.5,0.5,0.8,-1,1,0,0,93,0,26,-26,2.5,1
1002,-0.3,0.9,-0.4,1,-1,1,0,133,4052,0,4052,6.7,1
1001,0.5,0.5,0.8,1,-1,1,0,155,3112,0,3112,9.1,1
1000,-0.3,0.9,-0.4,-1,1,0,0,190,0,1177,-1177,22.1,1
1000,-0.3,0.3,0.8,1,-1,1,0,164,2445,0,2445,9.3,1
1001,-0.3,0.3,0.8,-1,1,0,0,194,0,990,-990,11.6,1
1002,0.5,0.5,0.8,1,-1,1,0,195,3046,0,3046,17.1,1
1000,-1.0,0.9,-0.4,1,-1,1,0,164,3317,0,3317,11.0,1
1001,-1.0,0.9,-0.4,-1,1,0,0,205,0,1464,-1464,14.4,1
1002,-0.3,0.3,0.8,1,-1,1,0,255,3450,0,3450,20.7,1
1000,-1.0,0.3,-0.8,-1,1,0,0,124,0,481,-481,12.5,1
1002,-1.0,0.9,-0.4,-1,1,0,0,153,0,606,-606,16.8,1
1002,-1.0,0.3,-0.8,1,-1,1,0,143,4247,0,4247,6.4,1
1001,-1.0,0.3,-0.8,-1,1,0,0,182,0,790,-790,11.6,1
1001,0.7,0.7,-0.4,-1,1,0,0,137,0,640,-640,8.8,1
1000,-1.0,0.9,-0.8,1,-1,1,0,130,4708,0,4708,6.9,1
1002,0.7,0.7,-0.4,1,-1,1,0,165,4397,0,4397,16.9,1
1001,-1.0,0.9,-0.8,1,-1,1,0,202,4686,0,4686,18.5,1
1002,-1.0,0.9,-0.8,1,-1,1,0,215,2608,0,2608,15.3,1
1000,0.7,0.7,-0.4,1,-1,1,0,272,5283,0,5283,24.7,1
1000,-0.3,0.5,-0.4,-1,1,0,0,147,0,4264,-4264,17.9,1
1002,0.2,0.7,-0.4,1,-1,1,0,119,1628,0,1628,7.4,1
1000,0.2,0.7,-0.4,1,-1,1,0,165,2969,0,2969,13.7,1
1002,-0.3,0.5,-0.4,-1,1,0,0,183,0,791,-791,17.3,1
1001,0.2,0.7,-0.4,1,-1,1,0,197,3229,0,3229,14.6,1
1000,0.7,1.1,0.4,-1,1,0,0,135,0,499,-499,8.2,1
1001,-0.3,0.5,-0.4,-1,1,0,0,245,0,2024,-2024,27.8,1
1002,0.7,1.1,0.4,-1,1,0,0,120,0,1974,-1974,8.6,1
1001,0.7,1.1,0.4,-1,1,0,0,130,0,553,-553,10.4,1
1000,-0.3,0.7,0.8,1,-1,1,0,185,3421,0,3421,9.7,1
1001,-0.3,0.7,0.8,1,-1,1,0,154,4278,0,4278,13.9,1
1001,-1.0,0.7,0.8,-1,1,0,0,147,0,730,-730,12.9,1
1002,-0.3,0.7,0.8,1,-1,1,0,151,3590,0,3590,17.6,1
1002,-1.0,0.7,0.8,-1,1,0,0,159,0,1926,-1926,15.3,1
1001,0.5,0.5,-0.8,1,-1,1,0,133,2497,0,2497,6.6,1
1002,0.5,0.5,-0.8,1,-1,1,0,152,2795,0,2795,6.2,1
1000,-1.0,0.7,0.8,-1,1,0,0,206,0,620,-620,23.2,1
1000,0.5,0.5,-0.8,1,-1,1,0,216,5489,0,5489,17.9,1
1001,-0.3,1.1,-0.4,1,-1,1,0,169,2620,0,2620,17.6,1
1000,-0.3,1.1,-0.4,-1,1,0,0,167,0,2158,-2158,21.9,1
1001,0.5,0.3,-0.4,-1,1,0,0,178,0,742,-742,14.4,1
1000,0.5,0.3,-0.4,-1,1,0,0,165,0,3389,-3389,19.4,1
1002,-0.3,1.1,-0.4,1,-1,1,0,224,6867,0,6867,20.5,1
1002,-0.3,0.7,-0.4,1,-1,1,0,126,3197,0,3197,9.3,1
1000,0.7,0.9,-0.4,1,-1,1,0,192,1806,0,1806,9.4,1
1002,0.5,0.3,-0.4,-1,1,0,0,188,0,1521,-1521,16.6,1
1002,0.7,0.9,-0.4,1,-1,1,0,183,1469,0,1469,7.2,1
1001,0.7,0.9,-0.4,-1,1,0,0,136,0,999,-999,11.0,1
1001,-0.3,0.7,-0.4,1,-1,1,0,242,4140,0,4140,26.0,1
1000,0.5,0.3,-0.8,1,-1,1,0,115,2583,0,2583,8.0,1
1000,-0.3,0.3,0.4,1,-1,1,0,263,4469,0,4469,26.8,1
1001,-0.3,0.3,0.4,1,-1,1,0,175,4829,0,4829,23.3,1
1001,0.5,0.3,-0.8,-1,1,0,0,118,0,974,-974,10.9,1
1000,-0.3,0.7,-0.4,1,-1,1,0,306,4741,0,4741,53.2,1
1000,0.7,0.3,0.8,1,-1,1,0,187,2925,0,2925,9.2,1
1002,-0.3,0.3,0.4,1,-1,1,0,251,8004,0,8004,34.5,1
1001,0.7,0.3,0.8,-1,1,0,0,137,0,2970,-2970,17.0,1
1000,-1.0,1.1,-0.8,-1,1,0,0,170,0,3243,-3243,13.0,1
1002,0.7,0.3,0.8,1,-1,1,0,147,4395,0,4395,13.6,1
1000,0.2,0.5,-0.4,1,-1,1,0,127,3628,0,3628,7.4,1
1001,0.2,0.5,-0.4,-1,1,0,0,117,0,735,-735,8.2,1
1000,-0.3,0.9,0.4,1,-1,1,0,137,3424,0,3424,8.5,1
1002,-1.0,1.1,-0.8,-1,1,0,0,199,0,529,-529,20.6,1
1002,0.2,0.5,-0.4,-1,1,0,0,137,0,1232,-1232,11.9,1
1001,-1.0,1.1,-0.8,-1,1,0,0,202,0,690,-690,29.3,1
1001,-0.3,0.9,0.4,-1,1,0,0,100,0,1899,-1899,8.6,1
1002,0.5,0.3,-0.8,1,-1,1,0,340,3517,0,3517,50.2,1
1000,-0.3,1.1,-0.8,1,-1,1,0,163,2763,0,2763,7.9,1
1000,-0.3,0.9,0.8,1,-1,1,0,142,2363,0,2363,5.2,1
1001,-0.3,1.1,-0.8,1,-1,1,0,150,4029,0,4029,11.4,1
1002,-0.3,0.9,0.4,-1,1,0,0,219,0,2810,-2810,16.7,1
1002,-0.3,0.9,0.8,-1,1,0,0,127,0,755,-755,9.0,1
1002,-0.3,1.1,-0.8,1,-1,1,0,162,4107,0,4107,16.5,1
1001,-0.3,0.9,0.8,-1,1,0,0,177,0,1838,-1838,18.1,1
1001,0.7,0.5,0.4,1,-1,1,0,164,5186,0,5186,14.7,1
1000,0.7,0.5,0.4,1,-1,1,0,315,2414,0,2414,18.3,1
1002,0.7,0.5,0.4,1,-1,1,0,128,3050,0,3050,11.9,1
